"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","22247400256.6019","23595183543.6354","24881836209.6678","24768401339.156","27481231964.0688","27922651513.8991","28639373484.0336","28102137810.0335","30768877254.8832","31144521526.3898","32894797633.4725","31092332780.3082","26747574550.4513","27637113340.9306","30288053175.2897","29049812717.2407","30694427543.4348","31514906795.9035","33744220164.2281","35364494315.3217","35654179694.9828","38233382978.999","39049408714.4766","40564934385.5397","42513393941.5616","43934197797.0669","45767739945.368","47494283014.9268","48641866884.3227","50021633387.6139","52833978753.3182","54675363277.1159","57651171373.4276","60367441897.607","62715811716.7226","65927662720.2479","68909517646.6382","72003483665.9859","75731123364.9781","79267885245.9874","83463768029.517","87701463720.4571","91063169521.9969","95379169817.7317","100376592809.901","106937151647.355","114071896799.753","122123774970.924","129468042041.458","135999866337.522","143577490822.182","152858884167.057","162827513288.15","172619317840.586","183081877159.745","195078573252.202","208955445058.145","222726141337.945","239028375854.719","257868369494.507","266759736960.217","285269339141.046","305522973769.778","",
"Bulgaria","BGR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","30408546077.8307","31898614054.9126","32643308122.8727","33763073451.8947","34909817206.7166","35846601464.1479","37354883785.4549","39616540393.6918","43952448746.3127","42506465016.4511","38630990310.8691","35368465963.2403","32796333900.6127","32310877694.5768","32898293113.2289","33839848536.4193","35601345586.5668","30576080099.8412","31734644883.1405","29070174722.0331","30403689584.7515","31566236668.9358","33419783866.5759","35170029498.5251","37459748127.9782","40103038915.3619","42831084070.7965","45681230428.8632","48481288291.3547","46858550601.3161","47587369525.7545","48582029158.1575","48945818584.0708","48680164511.0052","49142357612.8886","50811995688.6771","52349885976.855","53787375765.8271","55236895280.236","57465808373.0429","55186624687.9964","59414884842.2963","61747770024.9603","",
"Bahrain","BHR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7719989594.2972","7309541111.89847","6757216271.72362","7188081842.37558","7547748015.19352","7188605896.05476","7273646666.44917","8030033862.1097","8592135561.90565","8623411548.67152","9006118309.71319","10017505286.0204","10687676226.0298","12063180869.1514","12033022737.8954","12505919514.1411","13019913570.9245","13422619469.9058","14065563316.8115","14670382393.2056","15447922937.5299","15832722681.7137","16362889422.8255","17393169261.3715","18607379553.6075","19866912679.454","21151705946.6711","22906020071.8799","24336503493.4839","24954622922.9927","26036230937.9271","26552663487.0358","27542575573.0076","29034512771.3789","30297627559.0615","31050638297.8723","32155459790.271","33535234420.6161","34243206973.6781","34985245170.2699","33360307403.029","34250930436.9458","35915819622.2345","",
"Bahamas, The","BHS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","2183847592.59524","2416800742.91389","2669404077.31032","2950333635.9656","3260164905.3794","3600056543.33667","3926651106.47857","4303535550.80476","4665969139.86152","5085050743.94803","4797763199.0289","4875799236.79303","4705276158.08428","5061351169.67223","4213360800.40775","3589651679.16631","3775781758.52813","4121451906.05555","4705854009.07423","5935931106.94885","6321486566.98287","5738240609.23801","6122639480.70433","6342873998.5123","7241732099.84124","7591448386.37879","7727866731.14873","7958506408.61972","8142324640.83762","8690085672.79617","8551370259.57808","8193770338.88764","7880310911.34116","7904567028.11251","8153475201.77834","8510495663.08516","8869939031.3928","8984161955.59528","9407926776.89233","10080038841.3065","10498201118.807","10773884911.8277","11065313784.8282","10925346785.4985","11021749177.0314","11396057059.9869","11682849345.0179","11851795019.1571","11576401012.8845","11093036717.0626","11263721111.6904","11332786953.3196","11682559558.2698","11348145650.9686","11557758065.4237","11672900000","11583838872.7522","11876233701.5797","12222818652.3009","12131922208.9819","9279937629.8172","10856087752.7039","12415913222.1146","",
"Bosnia and Herzegovina","BIH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2436037815.87895","2942733621.70058","5560520773.5561","7472760182.63763","8638510523.43872","9467807509.19199","10676417585.1095","10935140618.7269","11484898712.3276","11929035686.0139","12683578944.5033","13177880591.4628","13891331517.2397","14704964354.8142","15505477767.974","15039622521.6786","15169815910.7044","15315372000.5534","15189504687.2909","15546436275.2992","15725819000.0295","16404348871.4437","16936219727.6767","17485647794.2627","18154910824.6593","18679105433.9912","18115912632.4361","19454977964.1756","20253843510.4894","",
"Belarus","BLR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29452716336.8679","29099285028.6358","26305753290.5802","24306515540.9122","21462652290.3542","19230536338.7281","19768992246.138","22022658441.2039","23872559843.8526","24684226697.4564","26115912675.5037","27349969477.1669","28729848599.9482","30753347145.2327","34274526374.8589","37496332398.5946","41245963659.1501","44793119255.6655","49362017183.5591","49460738872.9267","53317819268.921","56185628815.1061","57133556524.0424","57706875064.5283","58703016906.4629","56454889146.6088","55028933824.6442","56422059344.4014","58199150811.7146","59040830813.2346","58643542627.1016","60073780097.1802","57251844490.0491","",
"Belize","BLZ","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","142478215.945877","149448645.246673","156760647.646739","164530385.990874","172756707.706557","181274547.943454","189922875.855054","199254020.658759","213933513.593118","224857760.600722","235668232.235179","244999377.038884","270034157.788498","284486099.976562","323062372.94923","334669436.848939","334555579.149183","356290297.791243","384511365.275264","413415167.324782","468964447.722202","474281429.801896","473770579.240891","463616823.077784","472759648.299872","477546405.519047","499224419.050253","552817678.740159","606925877.939677","685882207.495646","750867159.900261","839309583.819672","946205904.36318","1004282944.16996","1004082219.4569","1011427666.33394","1022607040.59815","1065910527.20709","1107406654.93443","1211759703.35171","1360086531.59874","1428003313.52024","1505102242.07968","1650573765.13194","1729482180.34484","1767862663.33788","1847618999.66977","1908535443.78441","1879170833.46424","1870701556.08091","1893897374.56349","1888250122.49832","1957390277.3086","2044252286.31107","2126131097.5749","2194709309.24204","2194467135.91808","2154673433.68323","2177418128.32649","2269658667.06214","1957996150.25944","2307742191.29649","2509307581.46631","",
"Bermuda","BMU","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1684353374.03431","1763181111.92075","1841995307.60412","1861704657.40225","2068540044.85568","2167002550.99883","2478262917.43354","2807253304.72231","2866353374.30658","2964853490.1743","3152003710.52447","3260353838.09562","3319453907.67989","3368703965.66677","3398254000.45891","3526304151.11876","3841504522.23484","4068054788.86847","4127154858.45273","4215804962.82913","4550705357.03391","4659055484.60506","4412805194.77668","4501455299.15308","4523125324.58246","4432505217.97143","4728005565.7867","4905305774.5395","5104276008.72168","5126931035.37444","5127916036.59781","4946675890.08297","4943720834.23487","5092455993.93519","5122991040.76808","5348359015.58225","5487441777.63634","5739864145.64664","5963718852.73555","6165450410.7722","6739895068.97791","7226679645.63174","7119884453.30351","7362722827.73814","7533631299.4758","7659759815.30576","8084406664.52899","8354841362.08309","8198943712.90485","7737613934.72433","7543950875.42882","7261600082.73073","6876350478.40565","6857116738.50431","6603330213.03728","6654541000","6610806937.02849","6849550930.14215","6819905984.64909","6840793088.0543","6373022721.95909","6565093928.38781","6757261642.88508","",
"Bolivia","BOL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","4727739746.57154","4826516220.94735","5095783596.36433","5442175895.64954","5657500838.41073","5935478858.29048","6361087691.7343","6762931564.89177","7339771963.56157","7668160505.07993","8069284227.95154","8477859236.6012","9153331417.37735","9678655892.40561","9963166545.29281","10691575418.0281","11184945381.0081","11740973137.016","11981979454.6341","11997956711.0459","11833371991.0655","11865986702.0009","11398616583.2799","10937870663.0725","10915922108.5205","10732928705.7646","10456675549.5767","10714274143.0459","11026005730.7249","11443905787.9669","11974420933.7407","12605057005.5101","12812599040.0935","13359606833.3496","13983135100.9362","14637304837.9041","15275687754.507","16032477212.7938","16838807367.9087","16910689781.9002","17334777888.1262","17626660726.9117","18064782966.6648","18554580623.7088","19328918118.4657","20183533307.223","21151739180.8768","22117185836.643","23477060537.7351","24265185360.0464","25266542246.0612","26581436461.7176","27943010890.6533","29842021104.1396","31471565408.6312","33000198248.9146","34407300587.1524","35850757840.6068","37364958928.4415","38193230080.2463","34855949803.3644","36986126812.5425","38319728331.3779","",
"Brazil","BRA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","188463862179.827","204671754327.293","218180090112.894","219489170653.572","226951802455.793","232398645714.732","247969354977.619","258384067886.679","283705706539.573","310657748660.833","342966154521.559","381868537891.986","427464970662.726","487176363120.186","526900425054.734","554123521039.749","610960688375.518","641107493117.411","672969879603.445","718459683218.465","784557974074.562","751214260176.397","757449338535.857","735256072916.757","774959900854.261","835794253071.324","898395242626.365","930108594691.074","929550529534.26","958924326267.545","917211118074.905","926678475712.658","921636677135.004","967024426444.37","1023623112494.87","1066858840351.51","1090424301744.44","1127442527385.92","1131254386908.34","1136547951157.1","1186419100699.97","1202909097080.86","1239639467559.79","1253781634079.45","1325999012823.98","1368459252346.2","1422677453441.88","1509032134017.69","1585905180276.35","1583909921216.67","1703150236842","1770840632932.71","1804861597918.79","1859094488365.14","1868463501755.79","1802212206904.68","1743173232503.86","1766233131755.03","1797736845059.11","1819683217790.43","1760056587883.53","1847863165699.6","1901461002548.22","",
