"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27043423649.5481","28572642912.7207","29343064966.5336","29315404012.9832","31629425029.462","35949453239.3726","38233278956.681","44365671088.179","43552758696.8095","47164867556.7624","56846802803.0964","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815699546.389627","861639311.368432","891484654.275792","960800878.901","1046837780.53946","1022194142.26749","1109656682.70638","1190555026.10262","1260915739.67937","1326093730.551","1440264043.67489","1405733490.48641","1442310484.22933","1560148255.07288","1694418471.10789","1860686051.30946","2161853940.39075","2427106078.0258","2473301607.4566","2191384352.07707","2043837770.24482","2045440278.58455","1952648600.45812","1916216985.6644","1923838903.52097","1876640003.00599","1918292905.20981","1933329160.6749","2229888663.55951","2424227725.41686","2053379780.08534","2376444043.97534","2785837429.25261","",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296606970753.033","308266971083.155","319047690834.948","338869775496.037","359145644518.848","378798712906.686","403354058864.168","426032065769.344","453620247395.633","479437912024.365","505056094140.601","532864799310.005","565994508002.305","594024458977.883","633138917180.184","666573991108.909","712648996565.745","763412360149.174","797546165740.298","874442486513.615","867492050866.474","938849887363.241","974506449193.729","1062414874202.12","1101347411236.85","1102492313517.56","1143970717633.14","1190737658818.33","1254437048890.68","1336328929938.81","1386702982120.14","1474501352807.93","1700455865579.78","",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149404706482.955","159773121507.843","166835396785.79","171689657416.525","179568160706.732","188224858944.927","195409996114.085","202563723869.671","212779576709.256","220639956878.73","235377744475.237","238949262917.233","251984858807.042","261071387955.893","276006414191.398","288086851811.747","311412915828.518","327170721478.926","343812802543","341383077572.189","351281009003.533","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476590426691.819","503361092130.55","537897842704.908","522624838947.364","567987424821.541","641751890596.523","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37694530103.6164","38696484278.857","30633636929.6859","24115654422.4934","19778392232.0172","17810336856.036","18372211992.4865","19772991830.6122","21995097661.6114","23955634496.4708","27217678656.4585","30586137071.2623","33994826285.4696","38204531284.4344","42860372196.7017","56564627673.0606","78426917948.493","100683032684.431","113654290594.673","125016200872.444","132906490790.588","135803575412.212","148678132524.431","162604723251.662","167470430285.624","145466446321.068","141837623390.756","141069643128.845","151909515454.014","167158106107.001","153047750160.236","203884098954.124","228314067976.541","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3341667975.18752","3627299688.61041","3747433157.40476","3596877422.10398","3532983821.92221","3321387280.04229","3111624748.90187","3114954587.51486","3299640117.97027","3312343716.22962","3358361145.1884","3504620319.43367","3717503265.93583","3744481925.8038","4030853197.40071","4194668945.05498","4558197311.10758","4842982765.50776","5175835828.04635","5407616902.74818","5753030235.60656","6109378663.94635","6434109700.67511","7175647231.46992","7822936123.43009","8809630118.7088","8676714933.88405","8759744160.76216","8935565006.18917","9549333185.98181","9923498550.18071","10847771568.5802","11826230308.8597","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186143914588.878","195966424619.526","203500309947.015","206320181481.636","217526046011.997","227383463991.073","230928998259.576","241579537994.353","248634626792.289","260168701709.78","284862666666.667","296218031614.831","312900377877.018","320981343828.761","334143156430.084","347658412088.972","371910293569.293","391020785776.548","405729462246.522","407550330241.668","434005882514.638","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.568","600269569562.906","650523760858.458","643354115322.589","719584623121.985","797595743425.037","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6263872718.58834","6749352134.0346","7107339440.10568","7700436168.3018","8023775039.5168","8687249860.01219","9228850210.88416","9926367674.35393","10435702280.2009","11148038682.5953","12068417543.7712","12998438893.2101","13813951246.4709","14571665604.7338","15625634673.9068","16391714299.0402","17563887278.8898","19118406973.8386","20439187423.0816","21047276239.8425","21750521094.3437","22860459982.9645","24393778410.0812","26896876069.4006","29454694903.9928","30961687093.8936","33245555033.1574","34745526935.4768","36720416644.3096","40076293090.6914","42407309934.6404","46467947984.7692","52849968257.5267","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192367141.73112","5854833811.43012","6002195549.48274","6357151655.81814","6578285936.44934","7100150653.3534","8026534869.02473","8680713154.73274","9419919590.96393","10259110711.9939","10689665669.0506","11653376975.816","12350171718.4476","13576554041.9331","14565345348.6472","16323283254.9017","17879168698.5039","19117304116.1197","20614029336.4487","21360646876.8753","23443220212.813","25515102554.621","26992067760.1929","29071648205.4878","30284926912.3411","31763609326.839","36383537964.2514","40632395597.0095","42375183591.2275","46790489887.5201","51134807589.6146","54537370117.8728","59416596729.0067","",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104999126666.25","112333159706.556","121146403553.556","129861168621.307","137793895022.816","147888078765.41","157407191150.633","167310862810.645","177953220907.605","188888806685.216","203393133326.126","218534997531.514","230448205140.289","246134138758.545","265983851332.037","292254344180.56","321372682224.657","353355326629.098","381790053055.95","403622398437.762","431232354469.565","468647816773.515","532553859722.85","577776460458.473","627516703644.248","671359529456.477","736379109928.489","791891238738.807","897767703940.619","997249796650.453","1104316059486.83","1247561124482.2","1430209451987.05","",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65784123287.7911","62265201981.5593","59052810173.9049","59557734506.6906","61935432504.0287","65043930673.7718","57255587977.3127","47789046532.4198","51007389094.0207","47685594922.3421","52475212633.7712","55752138957.788","62206511408.3791","65448461706.2333","71008354286.1809","78821727222.4838","86713133397.9063","96748334400.5408","107495331708.483","105567488043.46","110607803070.386","115717004314.022","119285054855.39","120959606863.095","127259694310.932","131974401558.928","143024158500","151834977177.159","161617474786.895","178072089592.718","178455323145.459","202250896943.406","229316160808.007","",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13313767889.9519","15309705679.4482","16706160236.2094","19303201194.1008","19666117520.7429","20867579696.4914","22123020634.4793","23200581590.5379","24585528466.9632","26004071347.1369","28002664526.8386","29346798120.2163","30802185154.6651","33387815395.3606","36677438753.2954","40388126701.9833","44326828395.8536","49300579352.8429","53384007743.8557","55090758632.4026","58169329411.6696","60555691596.7436","65959145055.1138","67888991384.8298","68536792809.3548","62841938254.9083","64238205819.2559","71827731651.7786","74662446608.4692","80256047774.6528","75999828936.7458","79531139415.3433","89268789712.4102","",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5555809196.42225","5503504505.05505","5413585300.50487","5558964007.39965","5856456545.76368","6241077622.0549","6623769874.23342","6824760947.11522","7227109322.74532","7852544354.78187","8363584124.6624","8776588357.86153","9154477115.72254","9217067946.80942","9548003849.42542","10181838870.947","10760149672.5367","11210753290.5795","11160273386.7605","10762829721.2997","11059770341.4778","11358785000.8993","11677615074.3653","11416903817.2795","11975312723.956","12211783876.0005","12391271753.8876","13178671350.2599","13655824673.1825","14019717223.3837","10136855494.4218","11792112579.9035","14435970115.4324","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3548786318.24604","4376826530.98078","8421776703.55119","11513160800.3882","13459013107.5248","14958955355.4086","17250700962.1824","18001415822.4117","19914428802.3351","20549360446.2139","22395046392.0131","24398017490.0471","27916819190.5764","30848707744.5097","33896798435.4241","33729402373.8938","34633813862.7222","36525547925.0193","37145682499.1188","39027231660.8666","39811651044.0962","41678631829.6695","44799426324.1581","46723044238.0586","50326064714.5229","54962714927.7004","54010547105.0512","60118468608.4434","67743015917.7086","",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53250955614.2212","54391157055.7949","50290136486.8788","47569536579.0911","42900860192.7836","39245201752.3863","41082756162.0507","46555399163.3656","51034060747.0464","53512859536.7128","57899283413.578","62001283963.8196","66144476966.6181","72200530493.8391","82627376546.9153","93228959076.5861","105716172444.624","117910480745.245","132429460429.606","133544823538.793","145689092491.766","156715098657.899","171127080561.616","179553714196.486","179879136842.301","171563080410.21","168862491607.69","174175106235.251","189021397896.308","210075455425.408","233301354383.785","256855349956.288","262024663941.48","",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","814481364.95216","941204840.687909","1085259799.50202","1179175082.41983","1204114753.77058","1238357358.13434","1274969542.37106","1351876608.87279","1420313631.98778","1576054129.85276","1809049755.58158","1942178057.48685","2078941375.55951","2324871355.96584","2501408286.33033","2637099760.50437","2841112208.0466","3014097690.04489","3024641903.66965","3030309288.49177","3104753266.20483","3159811002.67892","3082649556.93856","3232799972.91213","3290936486.12768","3401343634.91997","3429388416.36373","3404802284.0926","3621951857.36707","4060725193.61043","3767811391.10607","4624314595.99608","5382239444.37959","",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068741981.23927","2063112005.07248","2108867924.43701","2223805865.27062","2284912522.66975","2435449296.31369","2544534462.58418","2707480241.19794","2844734029.45805","2982406330.88787","3334145031.76884","3655493461.72759","3657603009.02598","3857001614.38818","4052473975.96067","4249526752.52499","4623506775.37574","4907300837.68478","4908095298.74214","4661620197.82517","4599566292.56937","4519405326.5993","4401060438.48103","4546789583.9929","4573359853.64919","4819676018.15066","5102072630.22836","5447424722.84928","5488075615.45772","5832740627.90403","5481722847.26192","5834969060.04617","6428614491.90143","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16283841547.8631","17721116844.6287","18423392428.3864","19665282457.4197","21022650005.1143","22467594792.2645","23876799317.3531","25491843210.6225","27075267754.7027","27574030464.4297","28905904150.2006","30054823271.6582","31281912250.3691","32764190064.686","35047766275.6842","37745009268.3395","40776162791.1297","43789629088.7436","47373527751.8864","49277693034.8021","51927900991.6518","55765337777.5774","61696072906.0143","70394877007.2335","76454300115.4351","78777661969.4082","84385715066.6074","96545462750.1116","103029675562.864","107078496355.74","98004280065.3528","112858166795.217","125160011067.656","",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997366926074.862","1041738357708.64","1059681669190.55","1138222746883.53","1230569918658.67","1309440382639.62","1362869157897.32","1433436057292.62","1454470819899.7","1481869627084.83","1581938922711.13","1640061928804.67","1716481965947.43","1770327038984.75","1922557348334.82","2046338691498.66","2193057535043.85","2389038740946.66","2558895374170.58","2572056702791.35","2798924733572.41","2970630762099.6","2992140131710.98","3120542014445.91","3166808963772.23","2989121457827.16","2907889886097.55","2980287463599.86","3187189640258.87","3333775621737.55","3359777233099.99","3740101608424.33","4119552571219.97","",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497589584.41853","2481354482.34932","2393431708.61356","2469595635.93802","2573050575.38164","2679912717.62737","2837498367.36625","3023248770.09256","3171265914.65772","3226718805.51398","3446570984.61562","3440856409.81038","3521998853.04986","3669641585.93843","3821340890.07469","4097062781.8737","4478812677.95219","4695492483.69743","4816773782.45276","4603544580.17765","4553011314.17976","4612838559.88539","4347919021.62047","4369263392.64575","4335097121.75348","4446891742.24006","4576025796.91897","4537539314.16474","4726840210.1392","4867972370.96874","4087242869.97461","4129765044.21867","4921541777.92977","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14450109617.4131","15408743061.3974","16509841818.3488","16952657548.7417","17859283753.2782","19050412632.8206","19957590746.6769","20003072179.7589","20115237016.8534","21021308134.4865","22110111947.6952","23228621563.6443","24504099645.9353","25713344431.5388","26536753668.7613","27474956035.5065","29568272358.0279","30414305194.0122","30396365593.8609","30051400072.8521","31202967176.6399","33044207206.1251","35387298721.4887","34227609587.5311","33850757981.5541","26475985797.9874","24234547470.1568","26683752499.7116","28522869251.1403","30701487040.9233","31223413923.1335","35346624887.2816","37219199021.7666","",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","874463560.271068","900348490.42099","963234698.756359","1005653530.32424","1077986799.34514","1178448218.43548","1266808704.92213","1357904133.31052","1454398543.39963","1592649560.6566","1683376859.59722","1865013303.69399","2102282746.73799","2311487258.49418","2516156729.05023","2784167395.82952","3070972936.19804","3733062036.04409","3987262805.89019","4283617798.38536","4852964251.88223","5349237441.53955","5873007200.08653","6006358475.82065","6598924140.40719","7326191204.60757","8165165817.17773","8808682648.21796","9093982082.8767","9873189667.27474","9605860674.94753","10436528020.2551","","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7804760163.93739","8670519304.92005","9126801735.0578","9522162454.83831","10078333990.1479","11013072427.6233","11868513890.9777","13078377909.2526","13284256461.8761","14773781266.8042","15408799117.1028","15795432331.5598","17015259520.048","18153714920.5152","19145427866.9317","20645540702.1854","23062623202.622","25057915501.1266","26369040488.248","22784449466.5298","25392277489.0175","27692393434.6991","26304559562.5436","28559217475.9872","32587870647.0545","31162419272.1222","36266220081.5912","35589435395.4775","36293825138.6309","37220081094.0541","36179967540.1178","43101212825.3954","48806154660.9823","",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1781544257.69919","1831615144.575","1753010156.05268","1800579181.3785","1929140675.40674","2111404422.0818","2064059017.51379","2210932525.92625","2340903900.00677","2459352225.4633","2452459053.47969","2619674574.42282","2756721239.36077","2659397659.60188","2894494248.06212","3012372945.01733","3253479785.99681","3495362385.01733","3635577476.73456","3973077426.84278","4207022668.79955","4474567487.04114","4897034572.03065","3295437288.55","3231436576.44185","3559349379.23233","3893548336.23769","4236556479.54651","4419174296.74199","4869757044.86639","5359843442.72162","5769272621.61696","6206478789.41503","",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560184961451.598","567048053070.888","585191423921.596","615002687930.821","656367194071.934","688183583810.055","712130924872.248","755390170461.408","793674327704.289","846412945809.995","900996986801.064","937786776176.929","971003788233.131","1023682523002.92","1083609294356.44","1171326187910.13","1241594039979.59","1301593351698.17","1342395839240.43","1307000908301.48","1363577286343.32","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1852985933143.48","1899695367283.6","1838812704451.83","2126724625203.07","2389525108242.21","",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785413396713.469","734225546731.563","736381507787.886","765464607595.553","813645186760.253","877846155469.482","920762635568.205","952478269578.456","993747627367.459","1024787836223.09","1086211924831.84","1162902846105.23","1249272898532.33","1315851772763.16","1433762351087.49","1517735975569.21","1684090595682.68","1872120207755.8","2065995643033.69","2064787010532.19","2174313652353.19","2324225583322.7","2401825523103.81","2474821635227.34","2580039143189.71","2698781934983.78","2858635023268.44","3064904064739.05","3282653413078.98","3632150903107.68","3662174332452.88","4046086837588.29","4523058517431.34","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191005018296.087","195655861759.977","200027191466.873","204510564935.933","211529959212.077","217004091175.056","222747306457.878","232005796537.153","240727947879.243","248201049346.696","263627541287.892","273454243730.002","281956062254.352","284293141607.109","296889791565.933","308825076428.302","346323158154.133","384574558162.247","411512093039.143","410201362487.713","425928053025.405","454912095759.708","475340741851.246","498760487993.313","519299911605.986","540550953723.454","563950610001.631","576360597477.87","601867859451.371","632274562999.588","630567393919.535","710318871754.097","796369094824.207","",
